Species1	gr1	Species2	gr2	sharedGenes	branch	group1	group2	newOrder
A.nanus	OX	G.przewalskii	CX	11793	0.758046	Xero-Xero	OX-CX	7-11
A.nanus	OX	F.tataricum	CNX	11368	0.718199	Xero-NonX	OX-CNX	7-12
A.nanus	OX	D.caryophyllus	CNX	10359	0.817633	Xero-NonX	OX-CNX	7-13
A.nanus	OX	Spov	CNX	10672	0.712531	Xero-NonX	OX-CNX	7-14
A.nanus	OX	B.vulgaris	CNX	11582	0.704635	Xero-NonX	OX-CNX	7-15
L.ruth	OX	jojoba	CX	11207	0.734171	Xero-Xero	OX-CX	8-9
L.ruth	OX	Pitaya	CX	10987	0.746046	Xero-Xero	OX-CX	8-10
G.przewalskii	CX	L.ruth	OX	11217	0.816405	Xero-Xero	OX-CX	8-11
F.tataricum	CNX	L.ruth	OX	10811	0.776558	Xero-NonX	OX-CNX	8-12
D.caryophyllus	CNX	L.ruth	OX	9940	0.875992	Xero-NonX	OX-CNX	8-13
L.ruth	OX	Spov	CNX	10135	0.77089	Xero-NonX	OX-CNX	8-14
B.vulgaris	CNX	L.ruth	OX	10992	0.762994	Xero-NonX	OX-CNX	8-15
Pitaya	CX	jojoba	CX	11291	0.477285	Xero-Xero	CX-CX	9-10
G.przewalskii	CX	jojoba	CX	11664	0.547644	Xero-Xero	CX-CX	9-11
F.tataricum	CNX	jojoba	CX	11169	0.585215	Xero-NonX	CX-CNX	9-12
D.caryophyllus	CNX	jojoba	CX	10243	0.607231	Xero-NonX	CX-CNX	9-13
Spov	CNX	jojoba	CX	10514	0.502129	Xero-NonX	CX-CNX	9-14
B.vulgaris	CNX	jojoba	CX	11403	0.494233	Xero-NonX	CX-CNX	9-15
G.przewalskii	CX	Pitaya	CX	12020	0.402657	Xero-Xero	CX-CX	10-11
F.tataricum	CNX	Pitaya	CX	11215	0.59709	Xero-NonX	CX-CNX	10-12
D.caryophyllus	CNX	Pitaya	CX	10443	0.462244	Xero-NonX	CX-CNX	10-13
Pitaya	CX	Spov	CNX	11445	0.357142	Xero-NonX	CX-CNX	10-14
B.vulgaris	CNX	Pitaya	CX	11715	0.349246	Xero-NonX	CX-CNX	10-15
F.tataricum	CNX	G.przewalskii	CX	11511	0.667449	Xero-NonX	CX-CNX	11-12
D.caryophyllus	CNX	G.przewalskii	CX	11229	0.384627	Xero-NonX	CX-CNX	11-13
G.przewalskii	CX	Spov	CNX	11410	0.371209	Xero-NonX	CX-CNX	11-14
B.vulgaris	CNX	G.przewalskii	CX	12206	0.363313	Xero-NonX	CX-CNX	11-15
D.caryophyllus	CNX	F.tataricum	CNX	10209	0.727036	NonX-NonX	CNX-CNX	12-13
F.tataricum	CNX	Spov	CNX	10385	0.621934	NonX-NonX	CNX-CNX	12-14
B.vulgaris	CNX	F.tataricum	CNX	11240	0.614038	NonX-NonX	CNX-CNX	12-15
D.caryophyllus	CNX	Spov	CNX	10351	0.430796	NonX-NonX	CNX-CNX	13-14
B.vulgaris	CNX	D.caryophyllus	CNX	10743	0.4229	NonX-NonX	CNX-CNX	13-15
B.vulgaris	CNX	Spov	CNX	11291	0.187122	NonX-NonX	CNX-CNX	14-15
